Date,Open,High,Low,Close,Volume
2022-01-24,101121.82112809067,104823.82391631806,97394.97268356643,99482.0078125,2921364
2022-01-25,99531.6960720219,103407.61833543563,99034.78296132783,100947.8984375,1598548
2022-01-26,101246.04398544521,102488.32673373287,81617.9765625,81617.9765625,4562568
2022-01-27,78214.12071642134,86115.03888281969,77667.51631497241,81021.6796875,7521908
2022-01-28,79506.09960402071,83854.0894261156,72946.84638668901,81568.2890625,3319508
2022-02-03,84922.4518021755,87456.70870206489,82015.5100640671,84226.7734375,2153848
2022-02-04,84226.77362625221,86264.11741308191,83232.94738877431,84326.15625,899636
2022-02-07,81319.8292623234,82164.5815369702,75282.3350641124,80897.453125,2987272
2022-02-08,80375.69473801582,85096.36923576637,79257.64025170649,80077.546875,2146468
2022-02-09,81344.6723122931,83555.93554863827,80425.3831016777,82562.109375,1368176
2022-02-10,83232.94548393416,83481.40203761755,79034.02972668495,79257.640625,1051920
2022-02-11,77568.13500375376,85667.81854354354,76797.91969782283,82736.03125,2460660
2022-02-14,81145.91195331416,84351.00155587924,79555.78997994855,82090.046875,1403844
2022-02-15,82636.65551359516,85170.91253776435,80425.39203172205,82239.125,1240396
2022-02-16,85220.59355388938,86487.72191285391,83605.62603756203,85121.2109375,1206148
2022-02-17,85866.5881849315,90264.26935065283,84226.77486889983,87059.1796875,2040836
2022-02-18,85667.81785508913,87605.77893185739,84748.52862636572,86413.1875,856808
2022-02-21,84425.53697067812,85841.73932716095,82686.3410942957,85369.671875,609808
2022-02-22,83729.85677832087,87034.32887075905,83630.47415899942,86413.1875,823896
2022-02-23,86661.6488422576,88202.07952695369,84798.22462689942,85841.7421875,674908
2022-02-24,84798.2209814573,84972.140567414,80897.453125,80897.453125,1093492
2022-02-25,83680.1673263889,89444.359375,82934.79766493056,89444.359375,1883408
2022-02-28,88202.07608025719,94413.489888726,88003.3108383862,93220.8984375,1485252
2022-03-02,92450.67848435514,99308.0789846728,92376.14152239516,97767.6484375,1429056
2022-03-03,100252.22537818471,100450.99063296178,97146.51827229299,97519.203125,898524
2022-03-04,96898.05313631076,98562.71199788328,95879.38129564698,96102.9921875,687220
2022-03-07,93171.20620575511,96326.60438925668,93171.20620575511,94761.328125,647460
2022-03-08,92028.31197961528,92450.68814150876,86537.421875,86537.421875,1728448
2022-03-10,89121.36357152797,91928.92255775118,87779.69821527971,89270.4375,1338624
2022-03-11,89295.28662437847,89369.82359151068,84475.22941649605,84947.296875,1067256
2022-03-14,83133.5686016982,83208.10557294897,78114.74587081267,80102.3984375,1767668
2022-03-15,78065.04697549771,81642.82124808576,78065.04697549771,81121.0625,892800
2022-03-16,83431.71263626989,85568.43904684739,82785.72558190925,84326.15625,921064
2022-03-17,89146.21265350265,91034.48248674296,86959.79495185598,89021.984375,1259768
2022-03-18,89916.42606896552,90910.25227586208,88997.1368275862,90065.5,670832
2022-03-21,91978.61953318858,93071.82840932588,90090.34965622415,90115.1953125,650676
2022-03-22,90512.72370826434,90636.95198675497,88549.91690811259,90040.65625,406160
2022-03-23,93022.13305214724,98016.10974645322,92425.83732745399,97196.203125,1505168
2022-03-24,95929.07641544117,95929.07641544117,93046.9803615196,95034.6328125,1035844
2022-03-25,96028.4563567093,97196.20213905479,95283.08670840366,95680.6171875,815584
2022-03-28,95630.92464327437,95655.7702978972,92500.37216079773,93046.9765625,698556
2022-03-29,96376.29474617014,97171.35569793025,94935.24677110495,95283.0859375,956564
2022-03-30,96699.2945945946,97867.04044401545,95904.2335907336,96525.375,611936
2022-03-31,95655.77362804877,99382.62195121951,95183.70617378048,98811.171875,1003560
2022-04-01,98140.339562516,98885.70923007942,96922.9024388291,96972.59375,643784
2022-04-04,96873.21820129598,97444.6683214883,95407.32441471572,96575.0703125,500496
2022-04-05,98115.49388406845,103084.625,97618.5807724753,103084.625,1553668
2022-04-06,100649.75293107009,105295.890625,100127.99415260737,105295.890625,1297636
2022-04-07,110240.17320281621,111855.1408066438,104202.67893004534,106861.1640625,3516660
2022-04-08,106910.8578391809,122265.47325740395,106886.01218316435,116401.8984375,4063528
2022-04-11,117221.79747675055,119035.5302482221,113544.640625,113544.640625,1622432
2022-04-12,110886.16466156405,112277.52142182566,108650.05558257217,110165.640625,1379704
2022-04-13,111656.37815931847,116401.89845936962,111432.76725512759,115383.2265625,1254124
2022-04-14,116873.96321926765,117395.72198363938,113793.10194392981,113991.8671875,1161692
2022-04-15,112227.8312823746,114712.39695167667,110389.25268709107,113917.3359375,591936
