Date,Open,High,Low,Close,Volume
2022-01-24,11521.125,11521.125,10822.875,10872.75,448018
2022-01-25,10872.75,10922.625,9965.025,10074.75,871505
2022-01-26,10074.75,10074.75,10074.75,10074.75,0
2022-01-27,10174.499798361589,10324.124795396317,9805.424805675922,9855.2998046875,580002
2022-01-28,9945.075,10224.375,9935.1,10174.5,297969
2022-02-03,10573.5,13067.25,10423.875,12518.625,5533043
2022-02-04,12269.25,12319.125,11471.25,11471.25,1550259
2022-02-07,11620.875,12219.375,11471.25,11770.5,1310408
2022-02-08,11770.5,11770.5,11770.5,11770.5,0
2022-02-09,11770.5,11770.5,11770.5,11770.5,0
2022-02-10,12069.75,12219.375,11471.25,11670.75,485138
2022-02-11,11521.125,11670.75,11172.0,11271.75,248152
2022-02-14,10922.625,11172.0,10822.875,10922.625,323977
2022-02-15,10822.875,11072.25,10523.625,10623.375,321161
2022-02-16,10872.75,11421.375,10822.875,11271.75,335592
2022-02-17,11421.375,11421.375,10972.5,11172.0,279519
2022-02-18,10872.75,11271.75,10872.75,11172.0,154477
2022-02-21,10972.5,11770.5,10972.5,11172.0,536261
2022-02-22,11172.0,11172.0,11172.0,11172.0,0
2022-02-23,11172.0,11172.0,11172.0,11172.0,0
2022-02-24,10872.75,10972.5,10473.75,10523.625,371642
2022-02-25,10723.125,10922.625,10623.375,10773.0,238596
2022-02-28,10773.0,10773.0,10773.0,10773.0,0
2022-03-02,10872.75,11072.25,10872.75,11022.375,128433
2022-03-03,11122.125,11571.0,11072.25,11271.75,362196
2022-03-04,11271.75,11271.75,11271.75,11271.75,0
2022-03-07,11072.25,11122.125,10822.875,10972.5,201902
2022-03-08,10723.125,11421.375,10723.125,11122.125,289041
2022-03-10,11122.125,11122.125,11122.125,11122.125,0
2022-03-11,11221.875,11620.875,11221.875,11421.375,337766
2022-03-14,11421.375,11571.0,11122.125,11122.125,216858
2022-03-15,11172.0,11321.625,11022.375,11271.75,191051
2022-03-16,11321.625,11571.0,11271.75,11371.5,208745
2022-03-17,11521.125,11720.625,11421.375,11571.0,274512
2022-03-18,11670.75,11770.5,11371.5,11571.0,294088
2022-03-21,11571.0,11571.0,11571.0,11571.0,0
2022-03-22,11421.375,11521.125,11371.5,11421.375,181569
2022-03-23,11471.25,11620.875,11371.5,11371.5,210691
2022-03-24,11321.625,11471.25,11122.125,11221.875,265448
2022-03-25,11371.5,11571.0,11271.75,11421.375,228377
2022-03-28,11521.125,11521.125,11122.125,11172.0,208303
2022-03-29,11371.5,11620.875,11172.0,11521.125,342372
2022-03-30,11620.875,11620.875,11371.5,11371.5,164694
2022-03-31,11371.5,11571.0,11321.625,11321.625,146420
2022-04-01,11221.875,11770.5,11221.875,11421.375,285379
2022-04-04,11421.375,11421.375,11271.75,11421.375,190991
2022-04-05,11421.375,11521.125,11321.625,11371.5,128064
2022-04-06,11271.75,11371.5,11172.0,11221.875,195439
2022-04-07,11221.875,11221.875,10872.75,10872.75,233287
2022-04-08,10922.625,11122.125,10872.75,11022.375,146045
2022-04-11,10922.625,11122.125,10872.75,10972.5,124656
2022-04-12,10822.875,10972.5,10773.0,10972.5,172375
2022-04-13,10872.75,11271.75,10872.75,11271.75,136638
2022-04-14,11371.5,11371.5,11172.0,11321.625,121296
2022-04-15,11271.75,11620.875,11172.0,11421.375,283504
2022-04-18,11421.375,11620.875,11321.625,11321.625,162737
2022-04-19,11471.25,11471.25,11271.75,11371.5,103932
2022-04-20,11421.375,11920.125,11371.5,11770.5,626879
2022-04-21,11870.25,11870.25,11571.0,11820.375,200106
2022-04-22,11670.75,11720.625,11521.125,11521.125,169057
2022-04-25,11371.5,11421.375,11271.75,11271.75,130780
2022-04-26,11371.5,11571.0,11271.75,11421.375,150759
2022-04-27,10972.5,11321.625,10872.75,11221.875,234947
2022-04-28,11321.625,11321.625,11122.125,11221.875,106480
2022-04-29,11321.625,11471.25,11271.75,11421.375,132657
2022-05-02,11221.875,11521.125,11221.875,11521.125,114403
2022-05-03,11521.125,11820.375,11421.375,11770.5,282214
2022-05-04,11870.25,12019.875,11670.75,11870.25,414546
2022-05-06,11670.75,12119.625,11670.75,11970.0,422394
2022-05-10,11770.5,12119.625,11521.125,11970.0,443353
2022-05-11,11870.25,12817.875,11870.25,12718.125,1298342
2022-05-12,12917.625,13466.25,12668.25,12967.5,2032513
2022-05-13,13216.875,13216.875,12618.375,13017.375,720763
2022-05-16,13017.375,13665.75,12967.5,13416.375,1186275
2022-05-17,13416.375,13615.875,13167.0,13416.375,660355
2022-05-18,13516.125,13566.0,12768.0,13316.625,1234167
2022-05-19,12967.5,13665.75,12967.5,13516.125,685850
2022-05-20,13665.75,13815.375,13366.5,13416.375,736197
2022-05-23,15112.125,16259.25,14364.0,14513.625,16022743
2022-05-24,14413.875,15561.0,14164.5,15361.5,6406212
2022-05-25,15112.125,15261.75,14513.625,14663.25,2730064
2022-05-26,15012.375,15162.0,14214.375,14463.75,1975456
2022-05-27,14613.375,14812.875,14114.625,14713.125,1621619
2022-05-30,14713.125,15062.25,14613.375,14862.75,1142512
2022-05-31,14763.0,15610.875,14513.625,15561.0,3006889
2022-06-02,15660.75,16408.875,15461.25,15660.75,3363447
2022-06-03,15760.5,16009.875,15311.625,15411.375,1262172
2022-06-07,15261.75,15361.5,14314.125,14613.375,1332091
2022-06-08,14663.25,15361.5,14513.625,14713.125,1212360
2022-06-09,14763.0,15411.375,14663.25,15261.75,1296750
2022-06-10,15112.125,15361.5,14812.875,15062.25,787807
2022-06-13,14663.25,14812.875,14064.75,14114.625,879268
2022-06-14,13815.375,14014.875,13366.5,13615.875,1229491
2022-06-15,13765.5,14463.75,13466.25,13516.125,1329126
2022-06-16,13715.625,14064.75,13516.125,13566.0,655374
2022-06-17,13117.125,13765.5,12867.75,13516.125,971978
2022-06-20,13615.875,13765.5,12967.5,13167.0,663528
2022-06-21,13266.75,13566.0,12817.875,13416.375,582611
2022-06-22,14314.125,14613.375,13416.375,13915.125,3437190
2022-06-23,13516.125,13665.75,11271.75,11620.875,2182755
2022-06-24,11571.0,11920.125,11072.25,11471.25,1184056
2022-06-27,11521.125,12269.25,11321.625,11920.125,839284
2022-06-28,12019.875,12019.875,11670.75,11970.0,367361
2022-06-29,11670.75,11920.125,11471.25,11571.0,492734
2022-06-30,11670.75,11920.125,11421.375,11471.25,455363
2022-07-01,11471.25,11670.75,10673.25,10872.75,762601
2022-07-04,10822.875,11221.875,10723.125,10872.75,672703
2022-07-05,10822.875,11521.125,10822.875,11521.125,581373
2022-07-06,11521.125,12119.625,11421.375,11820.375,616691
2022-07-07,11870.25,12319.125,11670.75,12119.625,642039
2022-07-08,12418.875,12418.875,12019.875,12169.5,454055
2022-07-11,12219.375,12867.75,12069.75,12169.5,811200
2022-07-12,12119.625,12518.625,12019.875,12169.5,540530
2022-07-13,12369.0,12718.125,12269.25,12319.125,814488
2022-07-14,12369.0,12967.5,12219.375,12768.0,1131360
2022-07-15,12867.75,13067.25,12468.75,12518.625,953894
2022-07-18,12618.375,12668.25,12119.625,12418.875,649227
2022-07-19,12518.625,12867.75,12319.125,12718.125,606557
2022-07-20,12817.875,13017.375,12568.5,12768.0,521352
2022-07-21,12817.875,12867.75,12219.375,12319.125,781434
2022-07-22,12319.125,12468.75,12169.5,12319.125,351515
2022-07-25,12568.5,12718.125,12119.625,12169.5,525166
2022-07-26,12369.0,12568.5,12069.75,12219.375,408119
2022-07-27,12169.5,12319.125,12069.75,12169.5,241568
2022-07-28,12269.25,12269.25,11571.0,11870.25,472465
2022-07-29,11820.375,11870.25,11421.375,11471.25,666969
2022-08-01,11620.875,11870.25,11471.25,11770.5,444684
2022-08-02,11720.625,11770.5,11471.25,11620.875,241437
2022-08-03,11571.0,11770.5,11471.25,11620.875,222123
2022-08-04,11920.125,12568.5,11920.125,12568.5,1772825
2022-08-05,12618.375,14463.75,12518.625,14014.875,9093454
2022-08-08,13915.125,14164.5,13566.0,13665.75,1520721
2022-08-09,13566.0,13965.0,13316.625,13615.875,862246
2022-08-10,13615.875,13865.25,13117.125,13266.75,1021589
2022-08-11,13366.5,14164.5,13266.75,13915.125,1467211
2022-08-12,14014.875,14862.75,13765.5,14463.75,2886463
2022-08-16,14463.75,14563.5,13865.25,14264.25,1157637
2022-08-17,14314.125,14364.0,13416.375,13516.125,1152199
2022-08-18,13466.25,13665.75,13167.0,13266.75,649904
2022-08-19,13366.5,13366.5,12867.75,13017.375,549061
2022-08-22,12817.875,13017.375,12518.625,12618.375,429707
2022-08-23,12468.75,12518.625,11970.0,12169.5,722863
2022-08-24,12169.5,12369.0,11870.25,12219.375,458664
2022-08-25,12169.5,12768.0,12169.5,12568.5,509521
2022-08-26,12668.25,12817.875,12369.0,12418.875,371559
2022-08-29,11920.125,12169.5,11870.25,11970.0,382137
2022-08-30,11970.0,12418.875,11970.0,12319.125,238571
2022-08-31,12219.375,12768.0,12169.5,12518.625,397562
2022-09-01,12468.75,12618.375,12169.5,12169.5,305649
2022-09-02,12319.125,13017.375,12269.25,12817.875,798106
2022-09-05,12917.625,12967.5,12119.625,12219.375,495957
2022-09-06,12319.125,12568.5,12069.75,12069.75,363144
2022-09-07,12019.875,12069.75,11571.0,11770.5,473202
2022-09-08,11920.125,12069.75,11820.375,11970.0,194264
2022-09-13,12169.5,12418.875,12069.75,12119.625,239983
2022-09-14,11720.625,11920.125,11620.875,11820.375,378028
2022-09-15,11920.125,11920.125,11471.25,11571.0,431490
2022-09-16,11421.375,11471.25,10972.5,11122.125,610549
2022-09-19,11022.375,11321.625,10872.75,10972.5,437022
2022-09-20,11072.25,11122.125,10723.125,11022.375,378469
2022-09-21,10822.875,10972.5,10773.0,10872.75,188081
2022-09-22,10673.25,11670.75,10573.5,11271.75,800259
