Date,Open,High,Low,Close,Volume
2022-01-24,158968.94840801886,161399.6662735849,152454.62452830188,154593.65625,107548
2022-01-25,155760.4195977918,158288.36648264984,150996.21200709778,154107.53125,115326
2022-01-26,155274.25445544554,157024.3712871287,146815.35643564357,147301.5,107450
2022-01-27,145843.07676848874,157704.98034565916,143898.50241157555,151190.65625,157053
2022-01-28,153232.47459150327,155760.42150735293,146329.234936683,148759.953125,131210
2022-02-03,150315.59437285224,150607.28051975946,135342.37216494844,141467.78125,301147
2022-02-04,136217.43422669492,145065.24758474575,134370.08858050848,143412.359375,232557
2022-02-07,144773.56559234162,151190.66117937624,144773.56559234162,148857.171875,175112
2022-02-08,147787.65003371544,148273.79361935265,142828.98546021577,144190.1875,108114
2022-02-09,146037.53075787402,148273.79121555117,143606.8128690945,148176.5625,107894
2022-02-10,150315.61045935226,162955.34484467944,144481.8868968936,147107.0625,336229
2022-02-11,149732.23980309424,150607.29834739803,137286.96272855136,138259.25,243600
2022-02-14,136120.21634615384,141078.8813701923,134661.78545673078,139037.078125,132614
2022-02-15,138356.47238762537,141759.47768176935,135731.296875,135731.296875,96267
2022-02-16,138842.6219905792,140495.5103476099,137189.73363354852,139328.765625,97074
2022-02-17,139328.753753011,143995.73224578457,136898.03578802478,141273.328125,170252
2022-02-18,138550.92377533784,139523.2109597262,136120.20581436701,136703.578125,177816
2022-02-21,135342.37842586086,139912.12827213632,134467.31994465916,138356.46875,102696
2022-02-22,134759.00928308823,135925.75395220588,128828.05721507354,132231.0625,213854
2022-02-23,132911.65058793922,134564.5387079063,131161.53375503293,132814.421875,119377
2022-02-24,131355.98983171314,134564.53732575203,129605.87301678283,132522.734375,125302
2022-02-25,134078.41622822933,134759.01732583455,131453.24056603774,133981.1875,125792
2022-02-28,133203.3432112069,135342.375,131842.1411637931,135342.375,65044
2022-03-02,133300.5642797707,134758.99496116865,128341.89996301776,131453.21875,235871
2022-03-03,133106.12475165562,148079.34842715232,133106.12475165562,146815.375,391873
2022-03-04,146815.3592028237,148079.3324939738,140398.26403236913,141176.09375,212082
2022-03-07,140106.5894295738,145259.711733368,137578.64263903326,140301.046875,175910
2022-03-08,137092.48750427205,146620.90152939165,136509.11521701983,142245.609375,213308
2022-03-10,146815.36725607698,149246.0852570054,142537.30357444295,143995.734375,347197
2022-03-11,145356.92471138536,155079.79592953823,145259.69599920383,152649.078125,327793
2022-03-14,154399.20667841128,154593.66411755286,149732.22813901346,151774.03125,155264
2022-03-15,150704.50923539518,150801.73795103093,140592.72280927835,141467.78125,320032
2022-03-16,143995.7284645372,146329.21764964788,141953.92542756538,144968.015625,181501
2022-03-17,147690.42447094125,157510.52511054958,146329.22240208465,153913.0625,273459
2022-03-18,152746.31410948496,154204.74486164426,150801.73977327254,151968.484375,100626
2022-03-21,153621.381621447,154593.66884689924,150121.1476098191,150510.0625,88086
2022-03-22,149732.2217019544,150801.73757125408,147787.64739413682,149246.078125,85422
2022-03-23,151093.42210790666,155760.40039695398,148662.70424902785,150023.90625,163147
2022-03-24,148857.17320933833,150121.14659387222,146037.54027460885,149148.859375,80038
2022-03-25,150315.6070765857,150315.6070765857,143995.7400261471,144092.96875,181754
2022-03-28,142828.9926303359,143704.0511284115,137384.18419786563,138939.84375,235955
2022-03-29,139134.28691297135,140592.71759340083,138064.7710806564,139231.515625,118550
2022-03-30,141662.24321875,147107.05146875,140495.49859375,145843.078125,262513
2022-03-31,144384.6435810811,146037.53175675677,142440.06925675675,143898.5,103797
2022-04-01,143509.59180602006,146620.9108695652,142828.99076086958,145356.9375,92245
2022-04-04,146037.53605143228,150121.14225260416,144287.4191080729,149343.3125,123871
2022-04-05,149926.68811677632,150412.83172286185,147593.1988075658,147787.65625,84694
2022-04-06,146037.5408489761,146620.91318259385,140981.64729095562,142440.078125,163982
2022-04-07,140787.18263790663,141370.55494165487,137384.17753270862,137481.40625,132967
2022-04-08,138259.2307577055,142342.83672945204,138259.2307577055,141953.921875,81903
2022-04-11,140203.82015888343,143704.05422665027,138259.24567679074,138453.703125,82647
2022-04-12,138064.78153832504,139231.52617104328,135634.0635534954,136995.265625,59676
2022-04-13,138064.77745535714,138064.77745535714,135731.28825892857,136120.203125,74248
2022-04-14,136606.3462837838,145745.8456081081,135828.51655405405,143898.5,222389
2022-04-15,142440.08717672413,143898.51810344827,139620.45405172414,140981.65625,63645
2022-04-18,141273.31739245416,141273.31739245416,137189.71152150916,137870.3125,60944
2022-04-19,138939.8383689132,141078.87017025406,137481.4075952717,137773.09375,60334
2022-04-20,138453.695056899,139523.2109597262,136411.8919696835,136703.578125,75681
2022-04-21,136411.89172875276,138064.7799392936,131258.76966059604,132133.828125,184698
2022-04-22,131550.46610523385,131842.1522828508,125619.51382702301,130967.09375,182028
2022-04-25,126883.4765625,130189.25296336206,126591.79040948275,126883.4765625,74293
2022-04-26,127369.63100961539,129119.74807692308,126202.88629807693,126397.34375,71790
2022-04-27,122313.72847306295,122994.32950590193,118910.72330886804,120466.3828125,197668
2022-04-28,120660.84159244162,123480.47447413445,119980.240552033,120758.0703125,97547
2022-04-29,120855.30093750001,121049.75838068183,105590.39164772727,106951.59375,747453
2022-05-03,104034.72977262235,106951.59135503232,103354.12873672668,105298.703125,178935
2022-05-04,105104.25385523554,106270.99857888294,102284.62077308769,104229.1953125,117050
2022-05-06,101117.87801932367,101992.93657910629,97325.95759359904,100631.734375,232598
2022-05-10,97228.72242647059,100534.49898897059,95478.60542279412,99173.296875,187084
2022-05-11,99173.29903704612,100242.81500705348,97714.86816885427,99076.0703125,93358
2022-05-12,97131.4914415426,97617.63504235112,94311.85855685319,94700.7734375,197942
2022-05-13,95186.92021276597,99173.29787234044,94992.46276595745,95964.75,115537
2022-05-16,96937.03857323232,100242.81521464647,96159.20877525253,96256.4375,156544
2022-05-17,96353.666841133,100437.27330665024,95381.37958743842,98687.15625,143157
2022-05-18,100048.35267196746,100340.03883136094,97228.71979783037,98589.921875,109252
2022-05-19,95478.60901309164,97617.64098690836,94798.00793051359,96548.125,116737
2022-05-20,96548.12522776968,100145.58810131195,96256.43904883381,100048.359375,105201
2022-05-23,100340.04640243902,101117.8762195122,98201.0144054878,99659.4453125,71531
2022-05-24,99659.44461239816,99659.44461239816,95284.15192209776,95478.609375,122999
2022-05-25,96937.03788908104,99853.89961091898,95673.06447628459,98395.46875,121589
2022-05-26,100048.35443376067,106854.36493945868,98881.60977564102,102381.84375,346329
2022-05-27,104909.78720703126,105493.15951772837,100728.95231370193,101117.8671875,199949
2022-05-30,103062.44892939816,105493.16706452546,102090.16167534723,105007.0234375,184641
2022-05-31,106076.53892416123,106076.53892416123,102576.30482583877,104326.421875,131366
2022-06-02,103645.81948014018,105007.02161214953,102284.61734813084,104034.734375,84877
2022-06-03,105687.62006356886,108118.33809630963,104909.7902930918,108021.109375,209640
2022-06-07,107146.05539641205,107146.05539641205,104423.65108506945,105007.0234375,105104
2022-06-08,105979.30785358114,108896.16953762465,105201.47807116953,107243.28125,94280
2022-06-09,105979.31165733548,106951.5989202468,104423.65203667733,106368.2265625,70141
2022-06-10,105104.2462084289,106854.3631665711,103062.44309059634,105979.3046875,69980
2022-06-13,103062.44915556612,104326.42258860609,99367.7575820647,102187.390625,174925
2022-06-14,99853.90323703973,101798.47778888082,97714.87123001454,100340.046875,154726
2022-06-15,99951.13079175152,101020.64678271385,90617.17305244399,95478.609375,267905
2022-06-16,97617.63557594291,99173.29510703364,94311.85907237513,95381.375,87157
2022-06-17,91492.23657626793,94992.47091924949,91297.77911276896,94895.2421875,138099
2022-06-20,94992.46414369035,95089.69286850476,90617.17152704136,91686.6875,119389
2022-06-21,90714.39679363709,92658.97121579436,90714.39679363709,91492.2265625,51564
2022-06-22,91978.37541307471,92367.2903196839,84102.8485542385,84588.9921875,235320
2022-06-23,84588.98492777123,85852.95826577241,80797.0649137677,82449.953125,164258
2022-06-24,82547.18776483051,87603.08147951977,82449.95903954802,86047.421875,146227
2022-06-27,86630.7890625,87214.1613794192,83616.69875841751,86630.7890625,145154
2022-06-28,86047.42308728448,87214.16780711207,82644.41765445402,84588.9921875,143557
2022-06-29,83033.32320884147,83227.7806402439,77491.28641387196,79727.546875,316004
2022-06-30,79727.54876716604,80797.06466526218,77199.60209893883,77880.203125,148948
2022-07-01,77880.20340189873,80116.46392405064,76032.85775316456,76810.6875,150609
2022-07-04,77394.06009306804,78949.71959242619,74671.65596919127,75741.171875,109137
2022-07-05,76616.23111007463,78949.72038246268,76519.00239039179,78171.890625,118479
2022-07-06,78755.25681818182,84297.29340909091,78269.11325757577,80213.6875,219760
2022-07-07,80699.83757223235,82936.09813146289,79338.63549270072,79922.0078125,92940
2022-07-08,81283.21526528777,82547.18870840827,79727.55564298561,81088.7578125,104747
2022-07-11,81088.75191717791,81283.20935582822,78755.26265337423,79241.40625,84257
2022-07-12,78755.25745738637,78949.71488320707,75838.39607007576,77005.140625,107206
2022-07-13,76324.54850576457,80505.38364684467,76227.31978155341,80116.46875,106598
2022-07-14,79727.54528985507,81963.80570652173,78852.48686594203,80505.375,94619
2022-07-15,81574.89825669915,82158.27059226553,76907.91957216809,79824.78125,89662
2022-07-18,80602.60799524853,83519.46956323099,79630.32080592104,83130.5546875,123632
2022-07-19,83033.32625518365,83130.55497445201,81672.12418542654,82061.0390625,82294
2022-07-20,84491.75538255576,88380.90407680458,82352.7236007189,82838.8671875,315581
2022-07-21,83908.38957868304,89158.74072265625,83033.3310546875,87116.9375,371566
2022-07-22,87019.717489631,87700.31863200801,84783.45659324943,84977.9140625,188299
2022-07-25,84102.84426067947,85852.96125107512,82644.41343534978,84783.4453125,119047
2022-07-26,84102.83908155488,84102.83908155488,78755.2597179878,79727.546875,313713
