Date,Open,High,Low,Close,Volume
2022-01-24,22278.701060022027,22854.87436329846,21798.556640625,21798.556640625,970025
2022-01-25,21750.542395355504,21846.57128010321,20934.296875,20934.296875,1336621
2022-01-26,20934.296875,20934.296875,20934.296875,20934.296875,0
2022-01-27,20934.296214522947,21030.325096240944,19637.906311330014,19877.978515625,1542298
2022-01-28,20070.03686013631,20742.23905162413,19733.9357643924,20694.224609375,1343040
2022-02-03,21078.339668524342,22134.65737400848,20838.267462732496,21942.599609375,1521147
2022-02-04,21846.570785984848,22614.801846590908,21702.527462121212,22182.671875,857234
2022-02-07,22182.67223243464,22182.67223243464,21846.571138003812,22038.62890625,572590
2022-02-08,22038.62890625,22038.62890625,22038.62890625,22038.62890625,0
2022-02-09,22038.62890625,22038.62890625,22038.62890625,22038.62890625,0
2022-02-10,23335.017994364756,23671.119076588115,22998.916912141394,23431.046875,1235675
2022-02-11,23046.932722929934,23287.00493879379,22374.730518511147,22614.802734375,1236628
2022-02-14,22086.642578125,22566.786981997284,21942.599256963316,22086.642578125,1121629
2022-02-15,22230.686984652162,22422.74475557788,21366.42701548642,21654.513671875,865482
2022-02-16,22086.642992424244,22374.729640151516,21846.570785984848,22182.671875,697941
2022-02-17,22278.700816381155,22902.888554771147,21894.58528506424,22422.744140625,1070852
2022-02-18,22086.643107786018,22662.81640625,21894.585341631355,22662.81640625,652542
2022-02-21,22662.81640625,22662.81640625,22662.81640625,22662.81640625,0
2022-02-22,22662.81640625,22662.81640625,22662.81640625,22662.81640625,0
2022-02-23,22662.81640625,22662.81640625,22662.81640625,22662.81640625,0
2022-02-24,21558.48431781391,21606.49875950169,21078.339900936095,21318.412109375,1017681
2022-02-25,21558.484080108043,22182.67181516685,21462.455197791303,21942.599609375,1061139
2022-02-28,21942.599609375,21942.599609375,21942.599609375,21942.599609375,0
2022-03-02,22086.643050722698,22806.85967194192,21990.61416789347,22422.744140625,980134
2022-03-03,22422.744140625,22422.744140625,22422.744140625,22422.744140625,0
2022-03-04,22422.744140625,22422.744140625,22422.744140625,22422.744140625,0
2022-03-07,24439.351066004674,26263.89986857477,24391.336623831776,25687.7265625,5663812
2022-03-08,25687.726922286187,26503.972450657897,25255.596936677633,25543.68359375,3804753
2022-03-10,25543.68359375,25543.68359375,25543.68359375,25543.68359375,0
2022-03-11,25543.68359375,25543.68359375,25543.68359375,25543.68359375,0
2022-03-14,25543.681973743267,26792.05740855027,25303.60977474192,26744.04296875,4255756
2022-03-15,26744.04296875,26744.04296875,26744.04296875,26744.04296875,0
2022-03-16,26744.04296875,26744.04296875,26744.04296875,26744.04296875,0
2022-03-17,26744.04296875,26744.04296875,26744.04296875,26744.04296875,0
2022-03-18,25159.56640625,25639.710803315837,25015.52308713025,25159.56640625,1635589
2022-03-21,25159.56640625,25159.56640625,25159.56640625,25159.56640625,0
2022-03-22,25495.66733812846,26407.94168732703,25351.624019833947,26023.826171875,1796057
2022-03-23,26023.82802220395,26023.82802220395,25399.640265213817,25543.68359375,1302785
2022-03-24,25447.65317766854,25927.79757724719,25351.62429775281,25639.7109375,1006589
2022-03-25,25639.7120651533,25975.81315964033,24967.509876179243,25447.654296875,1224357
2022-03-28,25447.65456081081,27176.17449324324,25303.61123310811,26648.015625,3141650
2022-03-29,26600.001336348687,26696.030222039473,25447.65470805921,25543.68359375,2091691
2022-03-30,25591.697265625,25879.783914018524,25351.625058630394,25591.697265625,916645
2022-03-31,25687.72524302242,25879.78300184876,25063.53752683683,25159.56640625,1265945
2022-04-01,24775.451171875,25159.566693919573,24295.306769319282,24775.451171875,1888023
2022-04-04,24583.39292730845,24823.465123864196,24247.291852130405,24439.349609375,1162187
2022-04-05,24439.35109561753,24919.495517928288,23911.192231075696,24103.25,1202880
2022-04-06,24007.22152467758,24343.322626023066,23623.10598028274,24199.279296875,1251413
2022-04-07,23863.177564185684,23959.206447743774,23094.946495720953,23142.9609375,1735570
2022-04-08,23431.046457047323,23767.147533275464,23142.95982028035,23335.017578125,904397
2022-04-11,23238.9898774384,23623.105412602672,22950.903226065195,23383.033203125,660485
2022-04-12,23046.93157894737,23238.989342105262,22614.801611842104,22806.859375,1135674
2022-04-13,22902.887622974536,23527.07533596965,22902.887622974536,23335.017578125,917241
