Agent,TF,In,Out,Type,PnL,Balance,Reason
Child_0399,5T,2022-10-11 00:00:00,2022-11-28 00:00:00,TREND_END,8.48,1084.84,Vol x1.3
Child_0399,5T,2023-03-23 00:00:00,2023-04-28 00:00:00,TREND_END,5.75,1147.16,Vol x1.3
Child_0399,5T,2023-05-19 00:00:00,2023-07-11 00:00:00,TREND_END,5.05,1205.14,Vol x1.3
Child_0399,5T,2023-09-01 00:00:00,2023-09-21 00:00:00,STOP_LOSS,-2.8,1171.4,Vol x1.3
Child_0399,5T,2024-03-15 00:00:00,2024-03-18 00:00:00,TREND_END,0.69,1179.5,Vol x1.3
Child_0399,5T,2024-06-13 00:00:00,2024-07-24 00:00:00,TREND_END,4.79,1236.01,Vol x1.3
Child_0399,5T,2025-03-19 00:00:00,2025-04-04 00:00:00,STOP_LOSS,-2.8,1201.4,Vol x1.3
Child_0399,5T,2025-06-04 00:00:00,2025-09-01 00:00:00,TREND_END,17.67,1413.71,Vol x1.3
Child_0399,5T,2025-09-10 00:00:00,2025-10-31 00:00:00,TAKE_PROFIT,48.1,2093.71,Vol x1.3
