stop_loss_pct,take_profit_pct,win_rate,avg_profit,total_profit,max_profit,max_loss,stop_loss_hit_rate,take_profit_hit_rate,hold_rate,avg_bars_held,n_tests
-10.0,30.0,49.5,5.911857870894038,5911.857870894039,29.735000000000035,-10.245000000000008,33.5,30.599999999999998,35.9,387.753,1000
-10.0,29.5,49.5,5.7589343708940355,5758.934370894035,29.235250000000025,-10.245000000000008,33.5,30.599999999999998,35.9,384.863,1000
-9.5,30.0,48.8,5.7403247454119795,5740.324745411979,29.735000000000035,-9.745250000000004,36.1,29.9,34.0,378.857,1000
-9.0,30.0,48.3,5.647988384073742,5647.988384073742,29.735000000000035,-9.245500000000003,38.3,29.4,32.300000000000004,369.068,1000
-10.0,29.0,49.5,5.625795882714669,5625.795882714669,28.735500000000037,-10.245000000000008,33.5,30.7,35.8,382.888,1000
-9.5,29.5,48.8,5.590899495411976,5590.899495411975,29.235250000000025,-9.745250000000004,36.1,29.9,34.0,376.036,1000
-8.5,30.0,47.8,5.583399670022776,5583.399670022776,29.735000000000035,-8.745750000000005,40.400000000000006,28.9,30.7,359.536,1000
-9.0,29.5,48.3,5.501061884073739,5501.061884073739,29.235250000000025,-9.245500000000003,38.3,29.4,32.300000000000004,366.306,1000
-10.0,28.5,49.5,5.492183483674165,5492.1834836741655,28.23575000000002,-10.245000000000008,33.5,30.8,35.699999999999996,379.934,1000
-9.5,29.0,48.8,5.46125925723261,5461.25925723261,28.735500000000037,-9.745250000000004,36.1,30.0,33.900000000000006,374.103,1000
-8.5,29.5,47.8,5.438971920022774,5438.971920022774,29.235250000000025,-8.745750000000005,40.400000000000006,28.9,30.7,356.774,1000
-9.0,29.0,48.3,5.373920395894372,5373.920395894373,28.735500000000037,-9.245500000000003,38.3,29.5,32.2,364.383,1000
-10.0,28.0,49.5,5.358029610722586,5358.029610722587,27.73600000000003,-10.245000000000008,33.5,30.9,35.6,376.594,1000
-9.5,28.5,48.8,5.331145108192108,5331.145108192108,28.23575000000002,-9.745250000000004,36.1,30.099999999999998,33.800000000000004,371.249,1000
-8.5,29.0,47.8,5.314329181843408,5314.329181843408,28.735500000000037,-8.745750000000005,40.400000000000006,28.999999999999996,30.599999999999998,354.851,1000
-9.0,28.5,48.3,5.246304996853871,5246.304996853871,28.23575000000002,-9.245500000000003,38.3,29.599999999999998,32.1,361.538,1000
-10.0,27.5,49.5,5.221349057307593,5221.349057307593,27.23625000000002,-10.245000000000008,33.5,31.0,35.5,373.497,1000
-8.0,30.0,46.300000000000004,5.2189461737307825,5218.946173730783,29.735000000000035,-8.246000000000006,43.3,27.6,29.099999999999998,343.741,1000
-9.5,28.0,48.8,5.200489485240527,5200.489485240527,27.73600000000003,-9.745250000000004,36.1,30.2,33.7,367.916,1000
-8.5,28.5,47.8,5.189212532802905,5189.212532802905,28.23575000000002,-8.745750000000005,40.400000000000006,29.099999999999998,30.5,352.1,1000
-9.0,28.0,48.3,5.118148123902291,5118.1481239022905,27.73600000000003,-9.245500000000003,38.3,29.7,32.0,358.294,1000
-10.0,27.0,49.5,5.091910725550704,5091.910725550704,26.736500000000035,-10.245000000000008,33.5,31.2,35.3,370.024,1000
-8.0,29.5,46.300000000000004,5.081015173730779,5081.015173730779,29.235250000000025,-8.246000000000006,43.3,27.6,29.099999999999998,341.116,1000
-9.5,27.5,48.8,5.067307181825535,5067.307181825535,27.23625000000002,-9.745250000000004,36.1,30.3,33.6,364.875,1000
-8.5,28.0,47.8,5.063554409851325,5063.5544098513255,27.73600000000003,-8.745750000000005,40.400000000000006,29.2,30.4,348.87,1000
-7.5,30.0,44.800000000000004,5.0009281761328435,5000.928176132844,29.735000000000035,-7.746250000000007,45.6,26.6,27.800000000000004,332.066,1000
-10.0,26.5,49.5,4.998738009480035,4998.738009480035,26.236750000000043,-10.245000000000008,33.5,31.6,34.9,367.103,1000
-9.0,27.5,48.3,4.987464570487298,4987.464570487298,27.23625000000002,-9.245500000000003,38.3,29.799999999999997,31.900000000000002,355.284,1000
-8.0,29.0,46.300000000000004,4.962869185551413,4962.869185551413,28.735500000000037,-8.246000000000006,43.3,27.700000000000003,28.999999999999996,339.321,1000
